batsman,total_runs,balls_faced,strike_rate,fours,sixes,player_type,bowler,balls_bowled,runs_conceded,wickets,economy,allrounder_score
S Dhawan,3561,2922,121.8686,401,71,Anchor,S Dhawan,48,72,49,9.0,39.96874864829793
MC Henriques,969,756,128.1746,87,27,Anchor,MC Henriques,891,1255,918,8.4512,26.00934075780059
Yuvraj Singh,2591,1974,131.2563,205,141,Anchor,Yuvraj Singh,858,1068,869,7.4685,43.021682698772665
DJ Hooda,373,268,139.1791,20,20,Anchor,DJ Hooda,193,270,201,8.3938,7.4630321439532175
BCJ Cutting,124,66,187.8788,9,10,Aggressive,BCJ Cutting,167,234,171,8.4072,4.223725045189147
CH Gayle,3651,2409,151.5567,297,266,Aggressive,CH Gayle,552,750,579,8.1522,49.824035977122804
TM Head,205,148,138.5135,12,8,Anchor,TM Head,48,81,48,10.125,3.056682035243268
SR Watson,2628,1895,138.6807,258,122,Anchor,SR Watson,1874,2490,1961,7.9723,61.69543382905305
Sachin Baby,137,101,135.6436,11,5,Anchor,Sachin Baby,10,8,10,4.8,1.673436579095499
STR Binny,766,604,126.8212,59,29,Anchor,STR Binny,540,686,554,7.6222,17.688597563684844
S Aravind,59,57,103.5088,7,0,Anchor,S Aravind,761,1057,788,8.3338,13.830302872479066
YS Chahal,15,28,53.5714,0,0,Anchor,YS Chahal,1194,1600,1219,8.0402,20.556342914344683
TS Mills,8,11,72.7273,0,1,Anchor,TS Mills,107,157,111,8.8037,1.944759044670682
A Choudhary,25,20,125.0,1,1,Anchor,A Choudhary,102,144,108,8.4706,2.081470375251619
RG Sharma,4207,3214,130.8961,354,173,Anchor,RG Sharma,332,449,342,8.1145,51.97207629970107
N Rana,437,339,128.9086,31,25,Anchor,N Rana,6,3,6,3.0,4.904677602690369
KH Pandya,480,303,158.4158,46,20,Aggressive,KH Pandya,428,518,440,7.2617,12.637366032532654
KA Pollard,2354,1602,146.9413,158,148,Aggressive,KA Pollard,1206,1785,1276,8.8806,47.22443889100257
HH Pandya,406,285,142.4561,24,28,Aggressive,HH Pandya,359,552,375,9.2256,10.736501443433898
TG Southee,54,35,154.2857,3,3,Aggressive,TG Southee,662,930,691,8.429,12.152717395622119
AM Rahane,3057,2535,120.5917,320,60,Anchor,AM Rahane,6,5,6,5.0,33.708547435583945
SPD Smith,1713,1298,131.9723,151,45,Anchor,SPD Smith,2,5,2,15.0,18.86590983121048
BA Stokes,316,221,142.9864,22,15,Aggressive,BA Stokes,264,327,274,7.4318,8.05752726281914
SK Raina,4548,3267,139.2103,402,174,Anchor,SK Raina,902,1133,924,7.5366,65.45667447306792
AJ Finch,1604,1233,130.0892,170,59,Anchor,AJ Finch,43,67,44,9.3488,18.370157007826702
MK Tiwary,1648,1405,117.2954,152,39,Anchor,MK Tiwary,36,73,38,12.1667,18.75351810346527
DT Christian,420,341,123.1672,22,18,Anchor,DT Christian,715,956,747,8.0224,17.113232247351988
AR Patel,606,473,128.1184,34,28,Anchor,AR Patel,1251,1584,1280,7.5971,28.074112555182545
GJ Maxwell,1229,748,164.3048,96,82,Aggressive,GJ Maxwell,324,483,334,8.9444,19.09858649113004
Iqbal Abdulla,88,84,104.7619,9,1,Anchor,Iqbal Abdulla,920,1125,943,7.337,16.741964747315944
P Negi,353,272,129.7794,26,16,Anchor,P Negi,625,802,639,7.6992,14.570020447298258
CH Morris,439,265,165.6604,33,23,Aggressive,CH Morris,1011,1307,1042,7.7567,22.25687606241943
CR Brathwaite,95,53,179.2453,8,8,Aggressive,CR Brathwaite,178,259,181,8.7303,4.072183611971541
PJ Cummins,77,55,140.0,5,4,Anchor,PJ Cummins,362,525,379,8.7017,7.186438959856619
A Mishra,340,363,93.6639,27,5,Anchor,A Mishra,2659,3305,2703,7.4577,48.953698006734164
S Nadeem,26,70,37.1429,1,0,Anchor,S Nadeem,1116,1332,1137,7.1613,19.305578972797647
Z Khan,117,141,82.9787,11,2,Anchor,Z Khan,2202,2860,2276,7.7929,39.35921377504676
DR Smith,2385,1764,135.2041,245,117,Anchor,DR Smith,543,825,557,9.116,35.537814113490896
DS Kulkarni,90,96,93.75,6,2,Anchor,DS Kulkarni,1422,1918,1485,8.0928,25.830529884863672
P Kumar,340,314,108.2803,22,17,Anchor,P Kumar,2525,3342,2637,7.9414,47.849649830086456
Basil Thampi,28,28,100.0,1,1,Anchor,Basil Thampi,268,428,278,9.5821,4.9582123605963
YK Pathan,2922,2000,146.1,240,149,Aggressive,YK Pathan,1129,1421,1166,7.5518,51.62886167486589
SA Yadav,608,466,130.4721,54,21,Anchor,SA Yadav,6,8,6,8.0,6.78462483224182
CR Woakes,46,47,97.8723,4,1,Anchor,CR Woakes,264,393,278,8.9318,5.156101542654348
SP Narine,271,184,147.2826,36,12,Aggressive,SP Narine,1933,2085,1956,6.4718,35.699304809514096
Harbhajan Singh,799,561,142.4242,76,41,Aggressive,Harbhajan Singh,2922,3453,2989,7.0903,58.78408091468778
CJ Anderson,521,401,129.9252,40,30,Anchor,CJ Anderson,245,408,259,9.9918,10.060345129444139
